Review,Category,Drug
Enlarged spleen also occurred,Adverse,Carbamazepine
Now being referred to haematology and had to be taken off Tegretol as they believe I am taking quite a severe reaction to it,Adverse,Carbamazepine
"""Was only one this 3 weeks",Other,Carbamazepine
Didn't help much and made me nasty,Ineffective,Carbamazepine
I would go from normal to telling people off,Ineffective,Carbamazepine
Even family,Other,Carbamazepine
For no reason at all,Other,Carbamazepine
"""Made me feel so ill from day 1 on just 200mg",Adverse,Carbamazepine
"Dr wanted me to increase to 400mg after 2 weeks (did tell me I might feel unwell, but to try & stick it out for at least 2 weeks)",Other,Carbamazepine
Was left for 5 weeks on 400mg feeling very unwell,Other,Carbamazepine
"Headache, pain in my neck & shoulders, dizzy, pain in my kidneys,(maybe just pain in my lower back muscles)",Adverse,Carbamazepine
Couldn't get up out of bed,Adverse,Carbamazepine
Dr (without seeing me) told me through my care coordinater to reduce to 200mg for 3 days then stop all together,Other,Carbamazepine
"6 days after stopping I still feel really unwell, especially when I just wake up or am tired",Adverse,Carbamazepine
Hope this damage to me isn't permanent,Other,Carbamazepine
Seems not getting any better after 6 days being of it,Ineffective,Carbamazepine
"""I have been taking this for over 20 years and I can't remember the last time I wasn't sleepy",Adverse,Carbamazepine
This medicine causes extreme fatigue that never goes away,Adverse,Carbamazepine
"""Was prescribed the drug for trigeminal pain",Other,Carbamazepine
"Knowing people with trigeminal neuralgia and feeling my pain was no where as severe as some, I felt that it may be a bit overkill for my symptoms maybe we were trying to castrate a mosquito with a machete",Other,Carbamazepine
In the end I couldn't stand how it made me feel,Effective,Carbamazepine
Put on 8 pounds in just 5 days,Adverse,Carbamazepine
Blood pressure went up and I was EXHAUSTED,Adverse,Carbamazepine
"I felt very edgy lost confidence in my stride and though the pain I was experiencing did dull it began to expand to both temples, tingling on lips and hands, worst, I just didn't feel myself",Adverse,Carbamazepine
I felt both drunk and somehow so fully aware of my strange symptoms It was as though I was observing myself from a foot away,Adverse,Carbamazepine
200 mg twice daily for five days,Other,Carbamazepine
"""I have been on 400mg once a day at night since I got diagnosed with bipolar 4 months ago and I am definitely more stable",Effective,Carbamazepine
I haven't had a manic episode since,Effective,Carbamazepine
I have had a few depressed times but not to the extent of before,Effective,Carbamazepine
Carbamazepine is definitely doing it's job at stabilizing my moods,Effective,Carbamazepine
"""I am 29, and have been on anti-convulsants since 13",Other,Carbamazepine
"Tegretol made me dizzy, sleepy, and black out in random places so my doctor changed me to Carbatrol",Adverse,Carbamazepine
It is crazy expensive without insurance,Other,Carbamazepine
"It works well, but Not 100%",Effective,Carbamazepine
Over the years I've noticed its effectiveness wanes,Ineffective,Carbamazepine
Increasing the dosage causes dizziness and doesn't seem to solve the problem,Ineffective,Carbamazepine
"However I have been tried on 3 Other seizure medicines and they did not help at ALL, so I feel I have no choice but to stick with the rough journey on Carbatrol",Ineffective,Carbamazepine
Its crazy how epileptics have to FIGHT to prove their disability,Other,Carbamazepine
"""I have been on Carbatrol capsules for about 9 years now",Other,Carbamazepine
"I started out with taking 300mg daily, I had mild side effects, diarrhea and headaches but they subsided fairly quickly, then my psych Dr increased it to 300mg twice a day",Adverse,Carbamazepine
It made me tired and didn't feel like doing anything for about 2 weeks,Ineffective,Carbamazepine
"I slept 12-14 hours everyday and was still tired, then it got a little bit better I guess, with time",Effective,Carbamazepine
"I hate getting my blood drawn every 3-6 months to check my WBC, and CBC",Other,Carbamazepine
I also think its not working so good for me anymore,Ineffective,Carbamazepine
"I have Bipolar Depression, and I also take Viibryd, Wellbutrin XL, Klonopin, Abilify, and Synthroid for my Hypothyroidism",Other,Carbamazepine
I'm just wondering if there is anything just as effective as Carbatrol but don't have to have blood work done,Effective,Carbamazepine
"Also my moods are all over the place, one minute I'm fine and the next I have a short fuse, and the next minute I'm crying",Adverse,Carbamazepine
I'm so confused,Other,Carbamazepine
"""I have been diagnosed with Temporal Lobe Epilepsy (seizures are so fleeting that I referred to them as funny turns)",Other,Carbamazepine
Lamotrigine worked for 4 months and then I was changed to Tegretol Retard which for the last 3 months has been effective,Effective,Carbamazepine
Side effets were tiredness and a rash which was treated with an antihistamine,Ineffective,Carbamazepine
"""MAKE SURE YOUR DOCTOR TITRATES THE DRUG AND DOES NOT START YOU ON A HIGH DOSE",Other,Carbamazepine
The 1 grade should be for my Dr,Other,Carbamazepine
Not the medication,Other,Carbamazepine
I am a female about 105lbs,Other,Carbamazepine
My Dr,Other,Carbamazepine
started me on 800mg without titration for possible seizures,Other,Carbamazepine
"After 2 days I was so sick and dizzy and my head / ears were
 was buzzing like crazy",Adverse,Carbamazepine
"I had non stop vomiting, ringing in my ears and severe indescribable dizziness",Adverse,Carbamazepine
I ended up going to the ER,Ineffective,Carbamazepine
I am sticking to lamictal and found a new Doctor,Other,Carbamazepine
"""I just started taking Tegretol on June 3 for mood stability",Other,Carbamazepine
Also prescribed Celexa on same day,Other,Carbamazepine
I also take Methadone 10mg 4x a day for chronic pain management for last 10 yrs,Other,Carbamazepine
"I love how it makes me feel and it's very hard for me to get angry BUT, it interferes with the methadone",Effective,Carbamazepine
At first nothing except feeling drunk for the first 4-5 days,Effective,Carbamazepine
Then it started,Other,Carbamazepine
"Withdrawal symptoms, increased pain, restlessness, insomnia, fatigue and nausea",Adverse,Carbamazepine
Not sure if I can continue treatment but will find out on June 24 after my doctors appointment,Other,Carbamazepine
Also taking meloxicam,Other,Carbamazepine
Will let everyone know my results Friday afternoon,Other,Carbamazepine
"""Had no energy and a lot of side effects listed",Adverse,Carbamazepine
My neurologist tarted taking me off this medicine,Ineffective,Carbamazepine
"""I was diagnosed Bipolar I with OCD When i was 14",Other,Carbamazepine
I am now 38 and a mOther of 3,Other,Carbamazepine
I have been taking Equatro/Tegratol XR (carbamazepine) for 3 years now,Other,Carbamazepine
I also take it with a mild antidepressant,Other,Carbamazepine
"I think on its own, the carbamazepine worked ok, but I found myself still depressed",Ineffective,Carbamazepine
"No more rage or bursts of anger, but zombie like",Effective,Carbamazepine
"As soon as my doctor introduced the antidepressant into my regimen, I feel wonderful!!! I take 600 MG a day total of the carbamazepine XR",Effective,Carbamazepine
1 tablet in the am and 2 before bed,Other,Carbamazepine
"My morbid thoughts have stopped, suicidal tendency went away almost completely",Effective,Carbamazepine
My moods are elevated and stable now,Effective,Carbamazepine
I am able to enjoy life now,Effective,Carbamazepine
"""I have been suffering from Trigeminal Neuralgia for almost 8 years thinking that I was having tooth problems",Other,Carbamazepine
"Since my symptoms would come and go, I never did any further research and accepted my dentist's explanation that it was just sensitive teeth",Other,Carbamazepine
"This time, I couldn't accept that and decided to research further",Other,Carbamazepine
Thank goodness I did and thank goodness for Tegretol! After being on it for only 2 days I am experiencing almost total relief! TN was the most painful experience of my life,Effective,Carbamazepine
"The only down side to the medicine so far has been some light-headedness, which I am hoping will diminish or go away completely",Effective,Carbamazepine
"""First time when I took Tegretol, it worked immediately and the pain went away",Effective,Carbamazepine
The pain comes and go every year and the most importantly the pain was not bad last 4 years that I did not even take Tegretol,Ineffective,Carbamazepine
This time the pain is unbearable so I'm on Tegretol,Effective,Carbamazepine
Even with the medication still feel the shock once in awhile,Adverse,Carbamazepine
Definately feels better with Tegretol,Effective,Carbamazepine
"The side effects, for me, sleepiness, weight gain, excitement with no reason",Adverse,Carbamazepine
"""Tegretol gave me my life back - gave me freedom from tremors and seizures",Effective,Carbamazepine
I am a brain tumor patient,Other,Carbamazepine
"""Tegretol has slowed the rapid cycling I was experiencing with bipolar",Effective,Carbamazepine
I have noticed improved mood,Effective,Carbamazepine
"I currently take a large dose, so I experience side effects",Adverse,Carbamazepine
It's my only complaint about the drug,Other,Carbamazepine
"I would recommend anyone who is considering Tegretol for Bipolar to have a backup for depressed mood, as I don't feel it's effective for extreme low mood, mainly for bipolar mania",Ineffective,Carbamazepine
"""This is the only medcine I am allergic to",Ineffective,Carbamazepine
Extreme itching! I couldn't stop taking it too fast,Effective,Carbamazepine
"Luckily, it doesn't have a very long half life",Other,Carbamazepine
"""I only took this 1 1/2 days because I had a severe bad reaction physically, but the second evening I was on it I felt so calm, peaceful, and happy, that I didn't even want to fall asleep knowing it would be gone in the morning",Effective,Carbamazepine
I would've given it a 10 if not the physical reaction,Ineffective,Carbamazepine
I really recommend trying this mood stabilizer for anyone with bipolar and it works in just a couple of days,Effective,Carbamazepine
"I was just an unlucky one, again",Other,Carbamazepine
"""Before this, I'd been ineffectively diagnosed and treated for ADHD and recurrent depression",Other,Carbamazepine
"I've taken this medication for only four days following a bipolar II re-diagnosis, but despite this, I feel much better than I had on Prozac",Effective,Carbamazepine
"My combination of irritability, depression, lack of motivation, and suicidal/homicidal ideation (in the form of intrusive mental images) has vanished, and I find it much easier to talk to people and look them in the eye again",Effective,Carbamazepine
"I'm taking 200mg tablets twice a day and initially noticed mild dizziness, headache, and sleepiness, but these quickly vanished",Effective,Carbamazepine
"The only persistent symptoms have been hardly perceptible ringing in the ears and lowering in the pitch at which I hear sounds, esp",Adverse,Carbamazepine
familiar songs,Other,Carbamazepine
"""Previously on generic with onset symptoms",Other,Carbamazepine
Now on Name brand and still transitioning from Aptiom which was not effective in controlling symptoms,Ineffective,Carbamazepine
Hoping name brand works,Other,Carbamazepine
"""After being on this medication for seven years I am still having break through seizures",Ineffective,Carbamazepine
I have now developed lucopenia as I did with Depakote,Adverse,Carbamazepine
Now I have to go through the trial and error of finding a new medication,Ineffective,Carbamazepine
"""I have been using Tegretol for over five years and I think it is the best medicine for the manic side of bipolar",Effective,Carbamazepine
I don't notice any side effects and have not gained weight while using Tegretol,Effective,Carbamazepine
"""I've been on this medication for almost 8 years now, and could not imagine going off of it",Effective,Carbamazepine
"When I first started on carbemazepine, I could tell the difference within a few weeks",Other,Carbamazepine
"My mood swings became less volatile and it gives me a ""buffer period"" between actions and my reactions so that I am able to think about what is happening and react in an appropriate way",Effective,Carbamazepine
Weight gain and sexual side effects have not been a problem for me with this medication either,Effective,Carbamazepine
"""As far as the depression goes, it works",Effective,Carbamazepine
"But at the same time, I'm so sleepy all the time",Adverse,Carbamazepine
I go from them making me sleepy to knocking me out,Adverse,Carbamazepine
"They have affected my mind, from making my memory worse to making me feel out of it",Adverse,Carbamazepine
"""I also suffer from bipolar 1 disorder and chronic pain",Other,Carbamazepine
The drug so far has made me eerily calm and it's almost like I'm high all the time,Effective,Carbamazepine
So far so good,Effective,Carbamazepine
It has calmed my mania down since I am rapid cycling,Effective,Carbamazepine
Also my short term memory hard been affected,Adverse,Carbamazepine
I am a Veteran as well,Other,Carbamazepine
"""I was initially put on Tegretol only to have it stop working after about 3 weeks",Ineffective,Carbamazepine
Dr,Other,Carbamazepine
added Neurontin and eventually had surgery to remove the blood vessel and wrap the nerve,Other,Carbamazepine
Best of luck to anyone with this terrible condition,Other,Carbamazepine
"""I have only been on Epitol for a few days but so far so good",Effective,Carbamazepine
Starting on 300mg twice a day,Other,Carbamazepine
"I have clear thoughts, no wants to destroy people who do simple stupid things, no impulsive decisions, nerve pain is controlled and overall I just feel good",Effective,Carbamazepine
"I'm also on Celexa, hoping this combination will do me justice",Other,Carbamazepine
"""So far Tegretol has helped my nerve pain in my feet significantly",Effective,Carbamazepine
No side effects,Effective,Carbamazepine
"""I'm 51, been having seizures since I was 12",Other,Carbamazepine
Carbatrol and Depakote are what I'm taking now for about 20 years,Other,Carbamazepine
"These are the only medications that seem to work for me, I've been considered controlled, I drive, the best thing that happen to me",Effective,Carbamazepine
Only thing they are just so expensive,Other,Carbamazepine
"""A neurologist prescribed carbamazepine for my wife to treat persistent pain in the area of her surgery (brain tumor)",Other,Carbamazepine
She was on this drug for two months and it did not have any affect on her pain,Ineffective,Carbamazepine
"It did almost kill her so BE VERY CAREFUL if you take this drug and have side effects such as low energy, drop in blood pressure, dizzy spells, etc",Adverse,Carbamazepine
This can be a dangerous drug - in our case it depleted sodium levels and my wife almost went into a coma,Adverse,Carbamazepine
It is her third day in the hospital after having to call 911 when she collapsed - she is slowly recovering,Effective,Carbamazepine
"""I have been on Tegretol for about 7 years which has been good with manageable attacks I between, it took 2 years before I was diagnosed in which time I had the fillings on the right side of my face replaced 3 times looking for the cause!
 I have now been in an attack for the last 3 an half weeks and at last have some relief , am now having double my dose 800mgs but still have a slight electric shock feeling and my top and bottom jaw ache slightly, I am getting a referral at a London hospital to check my teeth , just to make sure they are ok, but it is just like when I was first diagnosed",Effective,Carbamazepine
Wind or air con are worst for me,Other,Carbamazepine
"This is an awful illness, and do hope you to will get the help that you need,""",Other,Carbamazepine
"""After a week, started having anxiety attacks, which was disappointing because it was relieving the pain in my face",Adverse,Carbamazepine
"""Have been taking with Lithium for 10 years now",Other,Carbamazepine
Have not been admitted to hospital in that time,Other,Carbamazepine
It seems to 'dull my brain' however,Adverse,Carbamazepine
My memory is terrible,Other,Carbamazepine
"""This was the best medication I have ever had",Effective,Carbamazepine
I take 2 at night and 1 in the morning,Other,Carbamazepine
I only trouble I have had was at one time the Doctor tried to up me to 2 night and 2 in the morning and it caused terrible vertigo like feeling,Adverse,Carbamazepine
I couldn't even stand up,Adverse,Carbamazepine
Overal I would say it's a great medication,Effective,Carbamazepine
"""There is nothing more scarier than that first few seconds when your seizure starts and nobody is around",Other,Carbamazepine
Tegretol has saved my life! I am so thankful my doc put me on these tablets 200mg three times a day and I'm happily seizure free,Effective,Carbamazepine
"""I was previously diagnosed with major depression with severe anxiety attacks",Other,Carbamazepine
I was taking anti-depressants and anxiety medication for 3 years,Other,Carbamazepine
My mood would vary greatly throughout this time period,Adverse,Carbamazepine
I was self medicate until one night I tried to drive myself off of a bridge with my car full of people,Adverse,Carbamazepine
I realized at that point I needed help and nothing was working,Other,Carbamazepine
I call my therapist he suggested that I go to the emergency room,Other,Carbamazepine
I did,Other,Carbamazepine
I ended up getting admitted for attempted suicide,Other,Carbamazepine
After a week in the hospital it was apparent I was bipolar and in a episode,Other,Carbamazepine
I suffer from manic and depressive episodes,Other,Carbamazepine
They put me on Tegretol XR and I began to be able to actually sleep a whole night and think normally,Effective,Carbamazepine
"""I've been taking Tegretol for over a month now, right after my TN diagnosis",Other,Carbamazepine
It took a couple of days to fully work,Effective,Carbamazepine
Every since then the pain went completely away,Effective,Carbamazepine
Side effects for me are feeling sleepy and dizzy all the time,Adverse,Carbamazepine
"""I am taking time-released carbamazepine for vestibular paroxysmia",Other,Carbamazepine
I was experiencing machine-gun type tinnitus accompanied by vertigo for about 15 seconds at 45 second intervals,Adverse,Carbamazepine
I started on 100 mg twice as day; I felt improvement within 12 hours,Effective,Carbamazepine
"After one week my symptoms returned and my doctor increased the dose to three, then four times a day",Ineffective,Carbamazepine
"It has greatly reduced the tinnitus and vertigo, though I still get it if I lean over or lie down on that side",Effective,Carbamazepine
"I experienced severe drowsiness and occasional dizziness the first few days, and after 6 weeks am still sleeping about 2 hours more than usual",Adverse,Carbamazepine
"I have become extremely sensitive to the sun (must wear strong sunblock, hat, and polarized glasses whenever outdoors",Other,Carbamazepine
"""The neurologist that I go to see for my epilepsy seizures he wanted to prescribe me a new medication",Other,Carbamazepine
"He then asked me the patient would I mind taking a new medication ""Tegretol"", I asked him what he thought I and he claimed he did not know",Other,Carbamazepine
"The doctor prescribed me the Tegretol medication, I had been taken it for less than two months and was diagnosed with an Allergic reaction, Swollen Throat, Facial edema and itchy skin",Adverse,Carbamazepine
"""I have been on Tegretol for 8 days now, I'm very happy with the results so far",Effective,Carbamazepine
My mood and energy seems to have improved,Effective,Carbamazepine
I'm taking Tegretol 200mg twice a day along with Prosac and Ambien for my insomnia,Other,Carbamazepine
"The only side effect so far is a little bit lightheaded, but no biggie",Effective,Carbamazepine
"I have begun a journal/to do list and I'm very happy when I cross off the items I have completed, in addition in my daily journal I'm drafting my daily feelings and my accomplishments",Other,Carbamazepine
I would highly recommend this as this is helping me out tremendously,Effective,Carbamazepine
My memory is not as sharp and this HELPS big time,Effective,Carbamazepine
"""Was effective for mood stabilization,took 400 mg 2x/day",Effective,Carbamazepine
"Went off it because it caused water retention, elevated liver enzymes and mild neutropenia",Ineffective,Carbamazepine
"Also carbamazepine interacts with lots of meds,making them ineffective (i",Effective,Carbamazepine
"Seroquel) 
 Depakote ER is better for me",Ineffective,Carbamazepine
"""I am a 6; 5'' 245 71 yr old retired teacher after 30 yrs since 2007",Other,Carbamazepine
I played 2 yrs NFL n 2 1/2 yrs in ABA n am a night club bouncer wk as a bond recovery agent and security guard at troubled apt complexes,Other,Carbamazepine
"3 tours in Vietnam I have been shot, stabbed been in neurmous fights n in last 45 yrs have had 11 surgeries ranging from 2 total hip replacements to eye knees nose ankle",Other,Carbamazepine
Suffice it 2 say I have experienced ' pain,Adverse,Carbamazepine
Have TN for last 16 yrs,Other,Carbamazepine
"Unequivocally, this is the WORST pain I have ever experienced bar none",Adverse,Carbamazepine
"And as I get older ,as I am told by my Dr, it will only get worse",Other,Carbamazepine
I was prescribed 300 mg 3x/day but since June of 2014 have been taking 150 mg 4x/daily,Other,Carbamazepine
now taking 900 mg /day and I can't seem 2 balance the pain,Ineffective,Carbamazepine
Any insight,Other,Carbamazepine
"""Started taking this medicine about two months ago, after the Lamictal-induced sickness wore off",Effective,Carbamazepine
Up to 400mg now and I think I need a higher dosage as have been manic for a couple of weeks now,Adverse,Carbamazepine
"But it started to work straight away, and no side effects except for my third day of taking them when I started to get a little confused",Effective,Carbamazepine
"Was okay the next day though!""",Other,Carbamazepine
"""Made me exhausted everyday (wanted to sleep 24-7) and had changes to menstrual cycle",Adverse,Carbamazepine
"""It sent my seizures through the roof",Adverse,Carbamazepine
"""I have been on Tegretol 31 years as well as Lamictal, excellent until I turned 52",Other,Carbamazepine
Then had some partial seizures,Other,Carbamazepine
so my neurologist upped it from 400 to 800 Tegretol and upped Lamictal as well,Other,Carbamazepine
Getting control slowly,Effective,Carbamazepine
Been 5 months,Other,Carbamazepine
now,Other,Carbamazepine
improvement is happening but slow,Effective,Carbamazepine
confident,Other,Carbamazepine
depends on what meds suit your body,Other,Carbamazepine
Keep positive,Other,Carbamazepine
"""I have been taking Carbatrol 200mg for 13 years and I can only pin point me being tired from the medicine",Ineffective,Carbamazepine
When I take it like prescribed I do not have any episodes,Effective,Carbamazepine
"""I took this medicine for twenty-three years",Other,Carbamazepine
It was great for me,Effective,Carbamazepine
"As long as I took it on time, I had no seizures",Effective,Carbamazepine
I have tonic-clonic epilepsy,Other,Carbamazepine
"""I started taking gabapentin for my trigeminal neuralgia nearly 3 years ago but it gave me alarming mood swings, I nearly hit my wife! This sent me back to the doctor and I was put on pregabalin which was slightly better on the moods swings but became less effective over time",Ineffective,Carbamazepine
Now on Tegretol slow release (400mg morning and 600mg evening) it allows me to work but in some pain,Effective,Carbamazepine
I tried 600mg twice a day but I slept all day every day for a month,Effective,Carbamazepine
Breakthrough pain can be helped by taking tramadol and Co-codamol although only slightly,Other,Carbamazepine
Overall good but it will leave you sleepy and forgetful - don't forget it's job is to slow the neurons in you're brain (I believe it was originally developed for epilepsy),Adverse,Carbamazepine
Don't expect to be completely pain free and good luck,Ineffective,Carbamazepine
"""Although the side effects can be very difficult to deal with but the pain of Trigeminal neuralgia is far far worse",Other,Carbamazepine
This last attack that I had with the disorder put me to my knees begging to die so I started my Tegretol once again and now 6 days into it no pain at all,Effective,Carbamazepine
I am very nauseated and extremely dizzy but I will take the side effects over the pain any day of the week,Effective,Carbamazepine
"""I was put on this medicine as a treatment for bipolar disorder",Other,Carbamazepine
This is like a miracle for me,Effective,Carbamazepine
It has helped my mood stay stable and has helped my attention span as well,Effective,Carbamazepine
And its very affordable,Other,Carbamazepine
I would recommend this to anyone for treatment of bipolar disorder,Other,Carbamazepine
It has saved my life,Effective,Carbamazepine
"""I have been on cbz for 35 yrs",Other,Carbamazepine
"20 yr 600mg / 10yr 400 mg / 5yrs 200mg
 Since then no grand-mal",Other,Carbamazepine
However absences remain on 600mg level,Other,Carbamazepine
"So I (slowly) deminished the dose two times and the absences became 
 fewer ( first 10/yr",Effective,Carbamazepine
now 2-3/yr),Other,Carbamazepine
"Cbz worked well in preventing GM 
 seizures but absolutely not in case of absence seizures",Ineffective,Carbamazepine
"Five years ago I had one seizure because I thought I could stop taking 
 cbz",Other,Carbamazepine
After two days it went wrong and I returned to 2x 100mg,Other,Carbamazepine
So don't do this,Other,Carbamazepine
"It is bound to end in a G-M!!!!""",Other,Carbamazepine
"""I have been given tegretol to take for TN, then had decompression surgery",Other,Carbamazepine
This relieved pain for 7yrs,Effective,Carbamazepine
A surgeon told me it need to saturate my system first and then begin script of 200mg x 3 per day,Other,Carbamazepine
This means I needed to take 2 tablets together,Other,Carbamazepine
This takes the pain away,Effective,Carbamazepine
I ensured I lay low for a few hours as this made me sleep,Other,Carbamazepine
I am now on 400x3 times each day and all is good,Effective,Carbamazepine
"""Been taking 3x day for several years",Other,Carbamazepine
Suffered on and off for decades from head/facial pain with no diagnosis,Adverse,Carbamazepine
Finally went to good neurologist,Other,Carbamazepine
Tried gabapentin,Other,Carbamazepine
Didn't work at all,Ineffective,Carbamazepine
"(Neither does Dilaudid) This does make me groggy still and I have nausea, brain-drain and more",Adverse,Carbamazepine
I would take any side effect for relief from that horrific pain,Other,Carbamazepine
"I've had it so bad, I literally couldn't breathe in",Adverse,Carbamazepine
The break through pain I now gets is mainly an ache in my ear and sometimes teeth,Adverse,Carbamazepine
The side effects also may be from the 15 Other meds I take for various problems,Other,Carbamazepine
"""In my honest opinion I find this drug has worked in stabilizing my rapid cycling bipolar",Effective,Carbamazepine
This is the first time in years that I feel like I am well,Other,Carbamazepine
I started this medication when I was an inpatient in a psychiatric hospital and it worked within the first month it made the manic episode less severe,Effective,Carbamazepine
I am on 800 at night along with 600 seroquel XR and 25 lamictal,Other,Carbamazepine
"The only symptoms I have is slight constipation""",Adverse,Carbamazepine
"""Makes me very sleepy and dizzy",Adverse,Carbamazepine
Takes a long time for the side effects to wear off,Ineffective,Carbamazepine
The pain has been reduced to a degree,Effective,Carbamazepine
"""I have constant pain in my neck, scalp, left thumb",Adverse,Carbamazepine
Tegretol helped but compromised my bone marrow,Adverse,Carbamazepine
Be sure to have to have CBC blood work regularly,Other,Carbamazepine
"""I had a horrible experience after being prescribed Tegretol while in the hospital to treat my bipolar disorder",Adverse,Carbamazepine
"Within a few days of starting it, I began experiencing the shaking, nausea, etc",Adverse,Carbamazepine
but the worst was the extreme anger/irritability I started experiencing,Adverse,Carbamazepine
It got to the point that I would have horrible rages and felt like I was completely losing control,Adverse,Carbamazepine
"I kept asking my doctor to take me off the Tegretol, but he wouldn't",Ineffective,Carbamazepine
"During one of these rages, I ended up fracturing my wrist because I hit a door so hard",Other,Carbamazepine
"After that, he agreed to take me off of it",Other,Carbamazepine
"After talking to Other patients, I found out that a lot of them had similar experiences with this uncontrollable anger",Other,Carbamazepine
"""The XR seams better than the traditional form used in the 80s that resulted in sodium depletion",Other,Carbamazepine
"This form causes twitching, sporadic and rapidly occurring tremors that make sleeping difficult, increased urination frequency, some minor dizziness at first, and possibly elevated skin sensitivity to sunlight",Adverse,Carbamazepine
"""I have had epilepsy for 14 years now and during the first 9 years I took Carbatrol",Other,Carbamazepine
At first it was great seizure free then the side effects kicked in,Adverse,Carbamazepine
"I was depressed and had anxiety, my emotional state changed",Adverse,Carbamazepine
"I felt nausea, dizzy, and sometimes uncomfortable in my body",Adverse,Carbamazepine
"I switched to 
 Keppra and I'm happy",Ineffective,Carbamazepine
I'm normal moods and so far no side effects in Keppra,Effective,Carbamazepine
"""Most effective medicine for bipolar disorder, at least for me",Effective,Carbamazepine
"""Epitol has helped me immensely",Effective,Carbamazepine
"It pulled me out of a manic phase (after withdrawing from lithium, which didn't work) and has helped me from going into a deep depression",Effective,Carbamazepine
"""I just started tegretol 2 days ago in conjunction with Cipralex and Clonazapam",Other,Carbamazepine
I've taken the last two mentioned for years up until a few months ago and never had side effects so I know the side effects are from the Tegretol,Adverse,Carbamazepine
No appetite,Other,Carbamazepine
"Nausea, and severe migraines",Adverse,Carbamazepine
"Definitely making me more hopeful and less suicidal and less impulsive, but I just hope the physical symptoms go away soon",Effective,Carbamazepine
I've never been on Tegretol before,Other,Carbamazepine
"""I have been taking carbamazapine for about 5 years and it has helped a lot",Effective,Carbamazepine
I didn't have any side effects after the first month of starting it and it has stopped my seizures,Effective,Carbamazepine
"""Well I've been taking depakote 250mg twice a day with citalpram 25mg for 10+ years",Other,Carbamazepine
It has worked genius for me,Effective,Carbamazepine
Love it,Effective,Carbamazepine
"Here recently, the last month or so it's working so well",Effective,Carbamazepine
Tried taking Carbamazepine and it through me for a loop,Other,Carbamazepine
"I had suicidal thoughts again, I broke out in rashes on my shoulders and arms, my face would get flushed and I started my cycle 2 weeks early",Ineffective,Carbamazepine
Which my Dr then immediately took me off of it 4 that last reason,Other,Carbamazepine
I wanted a bump up from my 500mg so that's why she prescribed me that,Other,Carbamazepine
Two 300mg pills a day along with my citalpram,Other,Carbamazepine
My dr said alot of her patients love it,Effective,Carbamazepine
I did not! Lol,Ineffective,Carbamazepine
I told her I took one for the team,Other,Carbamazepine
Now on to try something else,Other,Carbamazepine
Shit,Other,Carbamazepine
BTW I'm 35,Other,Carbamazepine
"""When I was first diagnosed, I thought I was dying",Other,Carbamazepine
I take this (200 mg) - 3 times a day with anOther medicine,Other,Carbamazepine
I have been pain free for 7 months,Effective,Carbamazepine
I stay drowsy and stagger at times but I can deal with that as long as the medicines continue to help me,Effective,Carbamazepine
"""it helped with the mania , but i was always drowsy and could not concentrate , also i gained weight",Ineffective,Carbamazepine
"""As I've only been on the medication a week, don't take this review exactly to heart",Other,Carbamazepine
"My first day on this medication was extremely brain foggy, trouble concentrating and very sleepy",Adverse,Carbamazepine
"I was already sleeping excessively to begin with, which is something I was needing help with",Adverse,Carbamazepine
"The first night I took this I slept for 14 hours, which is actually way more then I usually do",Adverse,Carbamazepine
"I also didn't really feel like myself taking this medication, it kinda sucks the life right out of you",Ineffective,Carbamazepine
"I would reply slower to things, take longer to think of responses, and all in all lack the normal enthusiasm I usually had",Other,Carbamazepine
"Now, as far as my mood swings went, I believe I have a mild case of bipolar",Other,Carbamazepine
"My doctor prescribed me 200 mg twice a day, which I've just been halfing""",Other,Carbamazepine
"""Makes me very sleepy and dizzy",Adverse,Carbamazepine
It takes a long time for the effects to wear off,Other,Carbamazepine
It does help with the pain,Effective,Carbamazepine
It does not get rid of the pain entirely but it tones it down,Ineffective,Carbamazepine
"""I take a low dose of Tegretol (200mg) 30 year old male 85kg",Other,Carbamazepine
"I find it isn't hugely noticeable however, it stops me getting a little too excited/frustrated and function better at work",Effective,Carbamazepine
No noticeable side effects at this dose,Effective,Carbamazepine
Taking 600mg dampened feelings such as love which I didn't like,Other,Carbamazepine
I then stopped it but became prone to being a little too passionate again,Other,Carbamazepine
So I started a very low dose which doesn't do heaps but I think it helps,Effective,Carbamazepine
I don't think it will change the world but may stop huge manic outbreaks,Other,Carbamazepine
Not sure about hypomania though,Other,Carbamazepine
"""I was diagnosed after I had my 2nd daughter (after a year of trying to treat what we thought was PPD which saw me declined faster and faster)",Other,Carbamazepine
"Although, I've had a feeling something ""wasn't quite right"" since my late teens/early twenties",Other,Carbamazepine
"Once we figured out what we are actually dealing with, I went through several medications (including lithium)",Other,Carbamazepine
They had such severe side affects that they were cancelling out any good they could of possibly been doing for me,Adverse,Carbamazepine
that is until I found carbemezapeme,Other,Carbamazepine
"It took me about 6mo-1yr to really figure out the correct dose, but with the help of some great Dr's and therapist (and THAT really is the key, it can't just be about meds, good Dr's and the right meds go hand in hand) we figured it out",Other,Carbamazepine
"""I an 27 years old and I started taking tegretol 6 years ago",Other,Carbamazepine
I have 2 healthy kids and I have no more seizures,Effective,Carbamazepine
I used to have light ones but I didn't know what is happening for 2 or 3 seconds!! Since I started using this medicine I'm feeling better,Effective,Carbamazepine
