Review,Category,has_adverse
"""In the ER for the 2nd time with a horrific headache",Adverse,
I started this medicine in the hospital for two days and can say this is the first time in over 6 months I have not had a headache,Effective,
I can tolerate the tingling and the weird taste carbon has now but that is a minor inconvenience compared to head feeling like its in a world champion soccer game,Effective,
I have lost 11 pounds in that week due to the loss of appetite,Adverse,
Nothing tastes good to me anymore,Adverse,
I urinate every 2 hours minimum,Adverse,
"I get a tingling feeling in my fingers, face and legs",Adverse,
"It has alleviated the headaches though!""",Effective,
Finally this was prescribed as a last attempt since it is not FDA approved to treat headaches and since I have had at least 2 weeks with a headache that is much more improved than before I can actually function most days now,Effective,
"This medication causes me to have severe muscle aches, weakness, fatigue, tingling in hands, feet and face along with nausea but its still better than how I was before",Effective,
"So, the Acetazolamide was very effective in accomplishing its purpose",Effective,
"However, the side effects were miserable, and I was very happy when the doctor said that eye drops would be sufficient going forward",Effective,
"It made me always tired, gave me diarrhea, made my hands and feet tingle almost to the point of pain, and made it so I could not stay warm",Adverse,
So I would sum it up as effective but miserable,Effective,
"It took my pressure away, saved my eyes",Effective,
"But this time around I had horrible side effects: nausea, vomiting, diarrhea, extremely tired, brain fog,weakness",Adverse,
